track_id,filename,rel_path,title,artist,genre_top,duration,display
2,000002.mp3,data/raw/fma_small/000/000002.mp3,Food,AWOL,Hip-Hop,168.0,Food — AWOL
5,000005.mp3,data/raw/fma_small/000/000005.mp3,This World,AWOL,Hip-Hop,206.0,This World — AWOL
10,000010.mp3,data/raw/fma_small/000/000010.mp3,Freeway,Kurt Vile,Pop,161.0,Freeway — Kurt Vile
140,000140.mp3,data/raw/fma_small/000/000140.mp3,Queen Of The Wires,Alec K. Redfearn & the Eyesores,Folk,253.0,Queen Of The Wires — Alec K. Redfearn & the Eyesores
141,000141.mp3,data/raw/fma_small/000/000141.mp3,Ohio,Alec K. Redfearn & the Eyesores,Folk,182.0,Ohio — Alec K. Redfearn & the Eyesores
148,000148.mp3,data/raw/fma_small/000/000148.mp3,Blackout 2,Contradiction,Experimental,138.0,Blackout 2 — Contradiction
182,000182.mp3,data/raw/fma_small/000/000182.mp3,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Rock,228.0,Jules Lost His Jewels — Ariel Pink's Haunted Graffiti
190,000190.mp3,data/raw/fma_small/000/000190.mp3,Castle Of Stars,Ed Askew,Folk,249.0,Castle Of Stars — Ed Askew
193,000193.mp3,data/raw/fma_small/000/000193.mp3,Here With You,Ed Askew,Folk,254.0,Here With You — Ed Askew
194,000194.mp3,data/raw/fma_small/000/000194.mp3,All I want to Do,Ed Askew,Folk,192.0,All I want to Do — Ed Askew
197,000197.mp3,data/raw/fma_small/000/000197.mp3,Piano 2,Ed Askew,Folk,68.0,Piano 2 — Ed Askew
200,000200.mp3,data/raw/fma_small/000/000200.mp3,Baby Come Home,Ed Askew,Folk,194.0,Baby Come Home — Ed Askew
203,000203.mp3,data/raw/fma_small/000/000203.mp3,Song For R,Ed Askew,Folk,195.0,Song For R — Ed Askew
204,000204.mp3,data/raw/fma_small/000/000204.mp3,My Dream,Ed Askew,Folk,324.0,My Dream — Ed Askew
207,000207.mp3,data/raw/fma_small/000/000207.mp3,Piano 3,Ed Askew,Folk,96.0,Piano 3 — Ed Askew
